text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @true_pundit: Baltimore Residents: Murder Rate Shot Up Over Less Police Presence https://t.co/HhVNI5Vzyb,FALSE,0.0,NA,2018-01-01T18:37:12Z,FALSE,NA,947899524739158016,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",most_xlnt,5.0,TRUE,FALSE,NA,NA
"RT @larryelder: ATTN #BlackLivesMatter,

Now what?

""Baltimore Residents Blame Record-High Murder Rate On Lower Police Presence""
https://t.…",FALSE,0.0,NA,2018-01-01T18:37:09Z,FALSE,NA,947899513418608646,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",DavidSmejkal666,112.0,TRUE,FALSE,NA,NA
"POLICE: A 16-year-old New Jersey boy armed with a semi-automatic rifle shot and killed his parents, sister and a fa… https://t.co/YpFdLZU45E",FALSE,0.0,NA,2018-01-01T18:37:05Z,FALSE,NA,947899495555256320,NA,"<a href=""http://toplocalnow.com/us/baltimore"" rel=""nofollow"">Baltimore Now</a>",BaltimoreCP,0.0,FALSE,FALSE,NA,NA
RT @Thomas1774Paine: Baltimore Residents: Murder Rate Shot Up Over Less Police Presence https://t.co/jNznhiUIBK,FALSE,0.0,NA,2018-01-01T18:37:03Z,FALSE,NA,947899486252105728,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",blueBooBooBear,25.0,TRUE,FALSE,NA,NA
"RT @larryelder: ATTN #BlackLivesMatter,

Now what?

""Baltimore Residents Blame Record-High Murder Rate On Lower Police Presence""
https://t.…",FALSE,0.0,NA,2018-01-01T18:37:02Z,FALSE,NA,947899484507459585,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FlyersNation67,112.0,TRUE,FALSE,NA,NA
"RT @sxdoc: Baltimore Residents: Murder Rate, Worse Than Chicago, Shot Up Over Less Police Presence; Liberal City Supports #BLM then Wonder…",FALSE,0.0,NA,2018-01-01T18:37:02Z,FALSE,NA,947899481521041409,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",theusaspirit1,64.0,TRUE,FALSE,NA,NA
"RT @sxdoc: Baltimore Residents: Murder Rate, Worse Than Chicago, Shot Up Over Less Police Presence; Liberal City Supports #BLM then Wonder…",FALSE,0.0,NA,2018-01-01T18:37:01Z,FALSE,NA,947899477955932162,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",kwilli1046,64.0,TRUE,FALSE,NA,NA
"RT @larryelder: ATTN #BlackLivesMatter,

Now what?

""Baltimore Residents Blame Record-High Murder Rate On Lower Police Presence""
https://t.…",FALSE,0.0,NA,2018-01-01T18:36:58Z,FALSE,NA,947899467256053760,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",guytron2,112.0,TRUE,FALSE,NA,NA
RT @Thomas1774Paine: Baltimore Residents: Murder Rate Shot Up Over Less Police Presence https://t.co/jNznhiUIBK,FALSE,0.0,NA,2018-01-01T18:36:58Z,FALSE,NA,947899464441835521,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",626Robyn,25.0,TRUE,FALSE,NA,NA
"RT @larryelder: ATTN #BlackLivesMatter,

Now what?

""Baltimore Residents Blame Record-High Murder Rate On Lower Police Presence""
https://t.…",FALSE,0.0,NA,2018-01-01T18:36:54Z,FALSE,NA,947899449094950914,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SherlSouch,112.0,TRUE,FALSE,NA,NA
Imagine that?  They chase off and harm police and now they suddenly need them!  Good luck with that Baltimore! https://t.co/QjQn97ZUjy,FALSE,0.0,NA,2018-01-01T18:36:53Z,FALSE,NA,947899444648923137,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",righteousrant,0.0,FALSE,FALSE,NA,NA
"RT @larryelder: ATTN #BlackLivesMatter,

Now what?

""Baltimore Residents Blame Record-High Murder Rate On Lower Police Presence""
https://t.…",FALSE,0.0,NA,2018-01-01T18:36:52Z,FALSE,NA,947899442765664256,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",LindaL_64,112.0,TRUE,FALSE,NA,NA
